Series Name,Series Code,Code,2010AG.LND.ARBL.ZS,2011AG.LND.ARBL.ZS,2012AG.LND.ARBL.ZS,2013AG.LND.ARBL.ZS,2014AG.LND.ARBL.ZS,2010AG.SRF.TOTL.K2,2011AG.SRF.TOTL.K2,2012AG.SRF.TOTL.K2,2013AG.SRF.TOTL.K2,2014AG.SRF.TOTL.K2,2010EN.POP.DNST,2011EN.POP.DNST,2012EN.POP.DNST,2013EN.POP.DNST,2014EN.POP.DNST,2010IT.NET.USER.P2,2011IT.NET.USER.P2,2012IT.NET.USER.P2,2013IT.NET.USER.P2,2014IT.NET.USER.P2,2010MS.MIL.TOTL.TF.ZS,2011MS.MIL.TOTL.TF.ZS,2012MS.MIL.TOTL.TF.ZS,2013MS.MIL.TOTL.TF.ZS,2014MS.MIL.TOTL.TF.ZS,2010NY.GDP.MKTP.CD,2011NY.GDP.MKTP.CD,2012NY.GDP.MKTP.CD,2013NY.GDP.MKTP.CD,2014NY.GDP.MKTP.CD,2010NY.GDP.MKTP.KD.ZG,2011NY.GDP.MKTP.KD.ZG,2012NY.GDP.MKTP.KD.ZG,2013NY.GDP.MKTP.KD.ZG,2014NY.GDP.MKTP.KD.ZG,2010NY.GDP.PCAP.KD.ZG,2011NY.GDP.PCAP.KD.ZG,2012NY.GDP.PCAP.KD.ZG,2013NY.GDP.PCAP.KD.ZG,2014NY.GDP.PCAP.KD.ZG,2010NY.GDP.PCAP.CD,2011NY.GDP.PCAP.CD,2012NY.GDP.PCAP.CD,2013NY.GDP.PCAP.CD,2014NY.GDP.PCAP.CD,2010SL.TLF.TOTL.FE.ZS,2011SL.TLF.TOTL.FE.ZS,2012SL.TLF.TOTL.FE.ZS,2013SL.TLF.TOTL.FE.ZS,2014SL.TLF.TOTL.FE.ZS,2010SL.TLF.TOTL.IN,2011SL.TLF.TOTL.IN,2012SL.TLF.TOTL.IN,2013SL.TLF.TOTL.IN,2014SL.TLF.TOTL.IN,2010SL.UEM.TOTL.FE.ZS,2011SL.UEM.TOTL.FE.ZS,2012SL.UEM.TOTL.FE.ZS,2013SL.UEM.TOTL.FE.ZS,2014SL.UEM.TOTL.FE.ZS,2010SL.UEM.TOTL.ZS,2011SL.UEM.TOTL.ZS,2012SL.UEM.TOTL.ZS,2013SL.UEM.TOTL.ZS,2014SL.UEM.TOTL.ZS,2010SP.POP.GROW,2011SP.POP.GROW,2012SP.POP.GROW,2013SP.POP.GROW,2014SP.POP.GROW,2010SP.POP.TOTL,2011SP.POP.TOTL,2012SP.POP.TOTL,2013SP.POP.TOTL,2014SP.POP.TOTL,2010SP.POP.TOTL.FE.ZS,2011SP.POP.TOTL.FE.ZS,2012SP.POP.TOTL.FE.ZS,2013SP.POP.TOTL.FE.ZS,2014SP.POP.TOTL.FE.ZS,2010SP.RUR.TOTL,2011SP.RUR.TOTL,2012SP.RUR.TOTL,2013SP.RUR.TOTL,2014SP.RUR.TOTL
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,CHN,11.42070625,11.34614465,11.28223471,11.2609314,..,9562911,9562911,9562911,9562911,9562911,142.4877434,143.1721123,143.8713936,144.5834568,145.317356,34.3,38.3,42.30011749,45.8,49.3,0.377054286,0.372698463,0.376069655,0.373289489,..,6.04E+12,7.49E+12,8.46E+12,9.49E+12,1.04E+13,10.63170823,9.484506202,7.750297593,7.68380997,7.351000022,10.09868985,8.961165489,7.226581504,7.153474861,6.808843125,4514.94052,5574.187093,6264.643878,6991.853866,7593.881891,43.97383953,43.92088196,43.92304496,43.86395756,..,781054640,790183028,795863202,801790592,..,3.400000095,3.599999905,3.700000048,3.799999952,..,4.199999809,4.300000191,4.5,4.599999905,..,0.482959689,0.479150454,0.487231118,0.493709634,0.506311592,1337705000,1344130000,1350695000,1357380000,1364270000,48.52554642,48.51508767,48.50442503,48.49411793,48.48491116,679206337,664363135,649832871,635688202,621970693
GDP (current US$),NY.GDP.MKTP.CD,BTN,2.639242333,2.628748328,2.628748328,2.628748328,..,38394,38394,38394,38394,38394,18.89566335,19.21048351,19.51126794,19.79791169,20.06999502,13.6,21,24,29.9,34.37,..,..,..,..,..,1585472534,1820207626,1823692110,1781261413,1821412873,11.73085436,7.890913893,5.071709815,2.044541095,6.25618388,9.804775926,6.122804588,3.451931228,0.567090803,4.815698443,2201.293078,2485.787052,2452.151588,2360.421517,2380.906962,41.559423,41.51473294,41.47463147,41.49675773,..,359928,370666,382265,393397,..,4.300000191,4.800000191,2.299999952,2.5,..,3.299999952,3.099999905,2.099999905,2.099999905,..,1.738886845,1.652370276,1.553599543,1.458432042,1.364945236,720246,732246,743711,754637,765008,46.35693916,46.32459583,46.29311655,46.26833829,46.26003911,469651,471676,473238,474372,475085
Internet users (per 100 people),IT.NET.USER.P2,TMP,10.08742434,10.08742434,10.7599193,10.42367182,..,14870,14870,14870,14870,14870,71.71546738,75.34579691,77.266846,79.35904506,81.5135844,0.21,0.9,0.9147,1.1,1.14,0.550886713,0.526315789,0.518573105,0.51190467,..,934000000,1123000000,1270000000,1468000000,1552000000,9.367681499,14.66809422,7.843137255,5.367965368,6.655710764,7.51734855,9.143128197,5.161884277,2.590074609,3.83662329,875.8365693,1002.327757,1105.349369,1243.995055,1280.415013,32.05068819,32.04313415,32.0735516,32.10027173,..,241792,252700,256473,259814,..,5.699999809,5.599999905,5.699999809,6.099999905,..,3.900000095,3.799999952,4,4.400000095,..,1.706321402,4.938169461,2.51768206,2.671746667,2.678725623,1066409,1120392,1148958,1180069,1212107,49.21371422,49.208242,49.20903822,49.213904,49.21968964,751744,782359,794711,808524,822645
Rural population,SP.RUR.TOTL,TWN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Population female (% of total),SP.POP.TOTL.FE.ZS,MAC,..,..,..,..,..,29.7,29.9,29.9,30.3,30.3,18000.87542,18283.67893,18654.28094,18747.72277,19073.06931,55.198,60.20369672,61.31,65.8,69.78,..,..,..,..,..,28359706111,36634742814,42991910938,51313818756,55501532528,27.49896423,21.29126163,9.165844611,10.65739543,-0.35295269,24.34598662,18.61642059,6.997061949,8.652317456,-2.052722193,53045.87901,67012.89381,77079.1733,90332.3242,96037.70203,48.51260441,48.47594705,48.43173564,48.38710586,..,332225,340769,348315,354890,..,2.099999905,2.099999905,1.700000048,1.700000048,..,2.799999952,2.599999905,2,1.799999952,..,2.5040346,2.229984352,2.006686044,1.828586444,1.720506326,534626,546682,557763,568056,577914,52.01654989,51.98213953,51.94482244,51.90667821,51.87017446,0,0,0,0,0
Population growth (annual %),SP.POP.GROW,HKG,3.333333333,3.333333333,2.952380952,2.952380952,..,1100,1100,1100,1100,1100,6689.714286,6734.857143,6813.904762,6845.238095,6896.857143,72,72.2,72.9,74.2,74.56,..,..,..,..,..,2.29E+11,2.49E+11,2.63E+11,2.76E+11,2.91E+11,6.767610559,4.814675724,1.700302663,3.072174041,2.501239094,5.986332238,4.112116808,0.520484766,2.600372368,1.734075698,32550.13787,35142.48793,36707.69534,38364.1949,40169.63,46.79292902,46.8950135,46.96094584,46.82129928,..,3675363,3697504,3730947,3733365,..,3.5,2.799999952,2.700000048,2.799999952,..,4.300000191,3.400000095,3.299999952,3.299999952,..,0.734446396,0.672543292,1.166874383,0.458789964,0.751257934,7024200,7071600,7154600,7187500,7241700,53.08869433,53.14148029,53.14499389,53.11627836,53.07919654,0,0,0,0,0
Population total,SP.POP.TOTL,CAF,2.889338342,2.889338342,2.889338342,2.889338342,..,622980,622980,622980,622980,622980,7.135017176,7.272950978,7.415165816,7.561523644,7.711830235,2,2.2,3,3.5,4.03,0.151404529,0.14785109,0.373484866,0.364540864,..,1986014846,2195599557,2169706564,1544626422,1782927903,3.046656852,3.300739707,4.112756215,-36.04707885,1.010329129,1.111338468,1.341608698,2.115986464,-37.28492602,-0.958401737,446.8002046,484.5832181,469.6842871,327.8989609,371.1096237,47.0857512,47.07287698,47.05904727,47.10959351,..,2080519,2130522,2182150,2235689,..,7.199999809,7.199999809,7.199999809,8.300000191,..,6.900000095,6.900000095,6.900000095,7.599999905,..,1.895959405,1.914746267,1.936521675,1.954537258,1.968283386,4444973,4530903,4619500,4710678,4804316,50.74858722,50.73853932,50.72895335,50.72034217,50.7134002,2719079,2762310,2805977,2849960,2894168
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,DNK,57.05868489,58.89700683,56.9879802,56.74287061,..,43090,43090,43090,43090,43090,130.7490691,131.2885223,131.7834551,132.334009,132.9145652,88.72,89.81001339,92.26001172,94.6297,95.99,0.635558813,0.561514704,0.589689148,0.592760261,..,3.20E+11,3.41E+11,3.22E+11,3.36E+11,3.42E+11,1.625135885,1.152136945,-0.65522463,-0.486210303,1.13429152,1.174721029,0.736511537,-1.02832906,-0.900221039,0.692548051,57647.66876,61304.0612,57636.12531,59818.63153,60634.39427,47.12940862,47.25253757,47.35889544,47.62453049,..,2930964,2929576,2916791,2901679,..,6.5,7.5,7.5,7.300000191,..,7.5,7.599999905,7.5,7,..,0.444197155,0.411737855,0.376272243,0.416901361,0.437745718,5547683,5570572,5591572,5614932,5639565,50.3998138,50.38793511,50.37939843,50.37333581,50.36838803,732572,726570,718964,711749,704833
GDP per capita (current US$),NY.GDP.PCAP.CD,UKR,56.06055375,56.09852931,56.13132638,56.14513568,..,603550,603550,603550,603550,603550,79.18024581,78.89611959,78.70140855,78.52240558,78.30370089,23.3,28.70826284,35.27,41,43.4,0.928069064,0.929316253,0.929934409,0.525189084,..,1.36E+11,1.63E+11,1.76E+11,1.83E+11,1.32E+11,4.200000016,5.200000009,0.199999998,0,-6.800008163,4.614794645,5.578853598,0.447899579,0.227964194,-0.84985749,2973.996481,3569.757027,3855.42128,4029.715504,3082.461447,48.84552442,48.8846345,48.9901739,48.9124847,..,23147523,23119148,23103780,23134525,..,6.800000191,6.800000191,6.400000095,6.699999809,..,8.100000381,7.900000095,7.5,7.900000095,..,-0.397285236,-0.359480081,-0.24709923,-0.22770475,-0.278913805,45870700,45706100,45593300,45489600,45362900,53.78801821,53.78497237,53.76717216,53.73995042,53.71114852,14363951,14225567,14101096,13977134,13843850
Labor force total,SL.TLF.TOTL.IN,UZB,10.22566996,10.10813352,10.34320639,10.34320639,..,447400,447400,447400,447400,447400,67.14245416,68.96897038,69.99177245,71.093559,72.26727786,20,30.2,36.5213,38.2,43.55,0.706193594,0.533271892,0.521719529,0.511150216,..,39332770929,45324319955,51183443225,56795656325,62643953022,8.500000001,8.299999999,8.200000001,8.000000001,8.100000002,5.480033191,5.431873862,6.61885439,6.326248546,6.34430902,1377.08214,1544.827773,1719.036196,1877.964512,2037.698724,40.36505988,40.2534955,40.2288492,40.27092465,..,12319568,12751469,13033823,13303330,..,11.19999981,11.19999981,11.10000038,10.89999962,..,11,11,10.89999962,10.69999981,..,2.822849683,2.684015505,1.472099988,1.561904333,1.637469625,28562400,29339400,29774500,30243200,30742500,50.78785097,50.80100979,50.81303103,50.82253481,50.82761866,18225382,18726459,19001490,19290020,19589736
